NOME_DO_EP,TEMPORADA,LANCAMENTO,TEMPO_DE_DURACAO,DIRETOR,RATINGS,ESTRELA_1
"A Golden Crown",1,22-May-11,53,"Daniel Minahan",9.2,"Sean Bean"
Baelor,1,12-Jun-11,57,"Alan Taylor",9.6,"Sean Bean"
"You Win or You Die",1,29-May-11,58,"Daniel Minahan",9.2,"Sean Bean"
"Winter Is Coming",1,17-Apr-11,62,"Timothy Van Patten",9.1,"Sean Bean"
"The Wolf and the Lion",1,15-May-11,55,"Brian Kirk",9.1,"Sean Bean"
"Cripples, Bastards, and Broken Things",1,8-May-11,56,"Brian Kirk",8.8,"Sean Bean"
"Fire and Blood",1,19-Jun-11,53,"Alan Taylor",9.5,"Sean Bean"
"Lord Snow",1,1-May-11,58,"Brian Kirk",8.7,"Sean Bean"
"The Pointy End",1,5-Jun-11,59,"Daniel Minahan",9,"Sean Bean"
"The Kingsroad",1,24-Apr-11,56,"Timothy Van Patten",8.8,"Sean Bean"
"A Man Without Honor",2,13-May-12,56,"David Nutter",8.9,"Peter Dinklage"
"The North Remembers",2,1-Apr-12,53,"Alan Taylor",8.8,"Peter Dinklage"
Blackwater,2,27-May-12,55,"Neil Marshall",9.7,"Peter Dinklage"
"The Night Lands",2,8-Apr-12,54,"Alan Taylor",8.5,"Peter Dinklage"
"What Is Dead May Never Die",2,15-Apr-12,53,"Alik Sakharov",8.8,"Peter Dinklage"
"Garden of Bones",2,22-Apr-12,51,"David Petrarca",8.8,"Peter Dinklage"
"Valar Morghulis",2,3-Jun-12,64,"Alan Taylor",9.4,"Peter Dinklage"
"The Prince of Winterfell",2,20-May-12,54,"Alan Taylor",8.8,"Peter Dinklage"
"The Ghost of Harrenhal",2,29-Apr-12,55,"David Petrarca",8.8,"Peter Dinklage"
"The Old Gods and the New",2,6-May-12,54,"David Nutter",9.1,"Peter Dinklage"
"Second Sons",3,19-May-13,56,"Michelle MacLaren",9,"Peter Dinklage"
"And Now His Watch Is Ended",3,21-Apr-13,53,"Alex Graves",9.6,"Peter Dinklage"
"Dark Wings, Dark Words",3,7-Apr-13,56,"Daniel Minahan",8.6,"Peter Dinklage"
"Walk of Punishment",3,14-Apr-13,56,"David Benioff",8.9,"Peter Dinklage"
"The Bear and the Maiden Fair",3,12-May-13,58,"Michelle MacLaren",8.7,"Peter Dinklage"
"Valar Dohaeris",3,31-Mar-13,55,"Daniel Minahan",8.8,"Peter Dinklage"
"The Rains of Castamere",3,2-Jun-13,51,"David Nutter",9.9,"Emilia Clarke"
"Kissed by Fire",3,28-Apr-13,57,"Alex Graves",9,"Peter Dinklage"
Mhysa,3,9-Jun-13,63,"David Nutter",9.2,"Peter Dinklage"
"The Climb",3,5-May-13,53,"Alik Sakharov",8.8,"Peter Dinklage"
"The Watchers on the Wall",4,8-Jun-14,51,"Neil Marshall",9.6,"Kit Harington"
"Two Swords",4,6-Apr-14,58,"D.B. Weiss",9.1,"Peter Dinklage"
"Breaker of Chains",4,20-Apr-14,57,"Alex Graves",8.9,"Peter Dinklage"
"First of His Name",4,4-May-14,53,"Michelle MacLaren",8.7,"Nikolaj Coster-Waldau"
Mockingbird,4,18-May-14,51,"Alik Sakharov",9.1,"Peter Dinklage"
Oathkeeper,4,27-Apr-14,55,"Michelle MacLaren",8.8,"Peter Dinklage"
"The Children",4,15-Jun-14,65,"Alex Graves",9.7,"Peter Dinklage"
"The Laws of Gods and Men",4,11-May-14,51,"Alik Sakharov",9.7,"Peter Dinklage"
"The Lion and the Rose",4,13-Apr-14,52,"Alex Graves",9.7,"Peter Dinklage"
"The Mountain and the Viper",4,1-Jun-14,52,"Alex Graves",9.7,"Peter Dinklage"
"Mother's Mercy",5,14-Jun-15,60,"David Nutter",9.1,"Peter Dinklage"
"The Gift",5,24-May-15,59,"Miguel Sapochnik",9,"Peter Dinklage"
"The House of Black and White",5,19-Apr-15,56,"Michael Slovis",8.5,"Peter Dinklage"
"The Wars to Come",5,12-Apr-15,53,"Michael Slovis",8.5,"Peter Dinklage"
"The Dance of Dragons",5,7-Jun-15,52,"David Nutter",9.5,"Peter Dinklage"
"Kill the Boy",5,10-May-15,57,"Jeremy Podeswa",8.6,"Peter Dinklage"
"Sons of the Harpy",5,3-May-15,51,"Mark Mylod",8.7,"Peter Dinklage"
Hardhome,5,31-May-15,61,"Miguel Sapochnik",9.9,"Peter Dinklage"
